
Configuracao com 5 neuronios =============================================
Run: 3 - Acuracia: 0.9666666666666667
Run: 4 - Acuracia: 0.8666666666666667
Run: 5 - Acuracia: 0.9
Run: 6 - Acuracia: 0.9
Run: 7 - Acuracia: 0.8333333333333334
Run: 8 - Acuracia: 0.8
Run: 9 - Acuracia: 0.9
Run: 10 - Acuracia: 0.9
Configuracao com 65 neuronios =============================================
Run: 1 - Acuracia: 0.8
Run: 2 - Acuracia: 0.8666666666666667
Run: 3 - Acuracia: 0.9333333333333333
Run: 4 - Acuracia: 0.9
Run: 5 - Acuracia: 0.9
Run: 6 - Acuracia: 0.8
Run: 7 - Acuracia: 0.9
Run: 8 - Acuracia: 0.8666666666666667
Run: 9 - Acuracia: 0.8666666666666667
Run: 10 - Acuracia: 0.7333333333333333
Configuracao com 80 neuronios =============================================
Run: 1 - Acuracia: 0.7666666666666667
Run: 2 - Acuracia: 0.6
Run: 3 - Acuracia: 0.8333333333333334
Run: 4 - Acuracia: 0.7333333333333333
Run: 5 - Acuracia: 0.7333333333333333
Run: 6 - Acuracia: 0.9
Run: 7 - Acuracia: 0.8666666666666667
Run: 8 - Acuracia: 0.8333333333333334
Run: 9 - Acuracia: 0.8
Run: 10 - Acuracia: 0.8
Configuracao com 95 neuronios =============================================
Run: 1 - Acuracia: 0.8
Run: 2 - Acuracia: 0.7
Run: 3 - Acuracia: 0.7
Run: 4 - Acuracia: 0.6666666666666666
Run: 5 - Acuracia: 0.6333333333333333
Run: 6 - Acuracia: 0.6333333333333333
Run: 7 - Acuracia: 0.8
Run: 8 - Acuracia: 0.8333333333333334
Run: 9 - Acuracia: 0.7666666666666667
Run: 10 - Acuracia: 0.7333333333333333
Configuracao com 110 neuronios =============================================
Run: 1 - Acuracia: 0.43333333333333335
Run: 2 - Acuracia: 0.5666666666666667
Run: 3 - Acuracia: 0.4666666666666667
Run: 4 - Acuracia: 0.7333333333333333
Run: 5 - Acuracia: 0.5666666666666667
Run: 6 - Acuracia: 0.5666666666666667
Run: 7 - Acuracia: 0.4666666666666667
Run: 8 - Acuracia: 0.4666666666666667
Run: 9 - Acuracia: 0.6666666666666666
Run: 10 - Acuracia: 0.5666666666666667
Configuracao com 125 neuronios =============================================
Run: 1 - Acuracia: 0.43333333333333335
Run: 2 - Acuracia: 0.5333333333333333
Run: 3 - Acuracia: 0.5
Run: 4 - Acuracia: 0.5
Run: 5 - Acuracia: 0.43333333333333335
Run: 6 - Acuracia: 0.3
Run: 7 - Acuracia: 0.4
Run: 8 - Acuracia: 0.5666666666666667
Run: 9 - Acuracia: 0.36666666666666664
Run: 10 - Acuracia: 0.7333333333333333
Configuracao com 140 neuronios =============================================
Run: 1 - Acuracia: 0.5333333333333333
Run: 2 - Acuracia: 0.5
Run: 3 - Acuracia: 0.43333333333333335
Run: 4 - Acuracia: 0.5
Run: 5 - Acuracia: 0.5
Run: 6 - Acuracia: 0.6333333333333333
Run: 7 - Acuracia: 0.5333333333333333
Run: 8 - Acuracia: 0.5666666666666667
Run: 9 - Acuracia: 0.6
Run: 10 - Acuracia: 0.9
Configuracao com 5 neuronios =============================================
Run: 1 - Acuracia: 0.7333333333333333
Run: 2 - Acuracia: 0.8666666666666667
Run: 3 - Acuracia: 0.8333333333333334
Run: 4 - Acuracia: 0.5666666666666667
Run: 5 - Acuracia: 0.7333333333333333
Run: 6 - Acuracia: 0.7
Run: 7 - Acuracia: 0.9
Run: 8 - Acuracia: 0.9
Run: 9 - Acuracia: 0.8333333333333334
Run: 10 - Acuracia: 0.8333333333333334
Configuracao com 15 neuronios =============================================
Run: 1 - Acuracia: 1.0
Run: 2 - Acuracia: 1.0
Run: 3 - Acuracia: 1.0
Run: 4 - Acuracia: 0.9666666666666667
Run: 5 - Acuracia: 0.9
Run: 6 - Acuracia: 0.8666666666666667
Run: 7 - Acuracia: 0.8666666666666667
Run: 8 - Acuracia: 0.9666666666666667
Run: 9 - Acuracia: 1.0
Run: 10 - Acuracia: 0.8666666666666667
Configuracao com 25 neuronios =============================================
Run: 1 - Acuracia: 0.9666666666666667
Run: 2 - Acuracia: 0.9333333333333333
Run: 3 - Acuracia: 0.9666666666666667
Run: 4 - Acuracia: 0.7666666666666667
Run: 5 - Acuracia: 0.9333333333333333
Run: 6 - Acuracia: 0.9666666666666667
Run: 7 - Acuracia: 1.0
Run: 8 - Acuracia: 0.9333333333333333
Run: 9 - Acuracia: 0.9666666666666667
Run: 10 - Acuracia: 0.9333333333333333
Configuracao com 35 neuronios =============================================
Run: 1 - Acuracia: 0.8666666666666667
Run: 2 - Acuracia: 0.9333333333333333
Run: 3 - Acuracia: 0.9666666666666667
Run: 4 - Acuracia: 0.9666666666666667
Run: 5 - Acuracia: 0.9333333333333333
Run: 6 - Acuracia: 0.9
Run: 7 - Acuracia: 0.9333333333333333
Run: 8 - Acuracia: 1.0
Run: 9 - Acuracia: 0.8
Run: 10 - Acuracia: 0.9
Configuracao com 45 neuronios =============================================
